playerName,salary,team,position,draftkingScore
Khem Birch,3500,TOR,"['C', 'UTIL']",13.76921844482420
KJ Martin,3500,HOU,"['PF', 'C', 'F', 'UTIL']",17.0172061920166
Gabe Vincent,3400,MIA,"['PG', 'G', 'UTIL']",13.265350341796900
Duane Washington Jr.,3400,IND,"['SG', 'G', 'UTIL']",22.112892150878900
Dalano Banton,3400,TOR,"['PG', 'G', 'UTIL']",9.774320602416990
Patrick Williams,3300,CHI,"['SF', 'PF', 'F', 'UTIL']",18.67253875732420
Bryn Forbes,3300,DEN,"['SG', 'G', 'UTIL']",10.550985336303700
Jordan Nwora,3300,MIL,"['SF', 'PF', 'F', 'UTIL']",14.581438064575200
Kessler Edwards,3300,BKN,"['PF', 'F', 'UTIL']",11.806419372558600
Terrence Ross,3300,ORL,"['SG', 'SF', 'F', 'G', 'UTIL']",14.198152542114300
Thaddeus Young,3300,TOR,"['PF', 'C', 'F', 'UTIL']",13.927711486816400
Josh Christopher,3300,HOU,"['SG', 'SF', 'F', 'G', 'UTIL']",20.82142448425290
Elijah Hughes,3300,POR,"['SF', 'F', 'UTIL']",11.307035446167000
Tristan Thompson,3200,CHI,"['C', 'UTIL']",14.96938705444340
Austin Rivers,3200,DEN,"['SG', 'SF', 'F', 'G', 'UTIL']",14.54758644104000
Armoni Brooks,3200,TOR,"['PG', 'G', 'UTIL']",10.07097625732420
Garrison Mathews,3200,HOU,"['SF', 'F', 'UTIL']",15.742389678955100
Ignas Brazdeikis,3100,ORL,"['SF', 'PF', 'F', 'UTIL']",15.326589584350600
Bruno Fernando,3100,HOU,"['C', 'UTIL']",13.52533721923830
Mychal Mulder,3000,MIA,"['SG', 'G', 'UTIL']",11.542684555053700
Tacko Fall,3000,CLE,"['C', 'UTIL']",8.501592636108400
Dylan Windler,3000,CLE,"['SG', 'SF', 'F', 'G', 'UTIL']",9.74046516418457
Kevin Pangos,3000,CLE,"['PG', 'G', 'UTIL']",10.77767562866210
Moses Brown,3000,CLE,"['C', 'UTIL']",17.489398956298800
Troy Brown Jr.,3000,CHI,"['SF', 'PF', 'F', 'UTIL']",8.096256256103520
Derrick Jones Jr.,3000,CHI,"['SF', 'PF', 'F', 'UTIL']",13.307677268981900
Tyler Cook,3000,CHI,"['PF', 'C', 'F', 'UTIL']",10.820011138916000
Devon Dotson,3000,CHI,"['PG', 'SG', 'G', 'UTIL']",9.158342361450200
Tony Bradley,3000,CHI,"['C', 'UTIL']",7.900919437408450
Facundo Campazzo,3000,DEN,"['PG', 'G', 'UTIL']",11.172513961792000
Markus Howard,3000,DEN,"['PG', 'G', 'UTIL']",7.252662181854250
Davon Reed,3000,DEN,"['SF', 'F', 'UTIL']",12.272489547729500
Mamadi Diakite,3000,OKC,"['SF', 'PF', 'F', 'UTIL']",12.54145622253420
Paul Watson,3000,OKC,"['SF', 'F', 'UTIL']",13.977429389953600
KZ Okpala,3000,OKC,"['SF', 'F', 'UTIL']",13.270851135253900
Jeremiah Robinson-Earl,3000,OKC,"['PF', 'C', 'F', 'UTIL']",16.673776626586900
Gabriel Deck,3000,OKC,"['SF', 'F', 'UTIL']",12.544425964355500
Santi Aldama,3000,MEM,"['PF', 'C', 'F', 'UTIL']",11.431564331054700
Sam Merrill,3000,MEM,"['PG', 'SG', 'G', 'UTIL']",9.678220748901370
Jarrett Culver,3000,MEM,"['SG', 'SF', 'F', 'G', 'UTIL']",9.196218490600590
Shaquille Harrison,3000,MEM,"['SG', 'G', 'UTIL']",14.590787887573200
Langston Galloway,3000,MIL,"['SG', 'G', 'UTIL']",12.393147468566900
George Hill,3000,MIL,"['PG', 'G', 'UTIL']",12.923587799072300
Sandro Mamukelashvili,3000,MIL,"['C', 'UTIL']",8.708495140075680
Thanasis Antetokounmpo,3000,MIL,"['SF', 'PF', 'F', 'UTIL']",9.009040832519530
Javonte Smart,3000,MIA,"['PG', 'G', 'UTIL']",10.588844299316400
Udonis Haslem,3000,MIA,"['C', 'UTIL']",8.762513160705570
Kyle Guy,3000,MIA,"['PG', 'G', 'UTIL']",7.909566402435300
Marcus Garrett,3000,MIA,"['PG', 'SG', 'G', 'UTIL']",10.258628845214800
Omer Yurtseven,3000,MIA,"['C', 'UTIL']",8.727699279785160
Chris Silva,3000,MIA,"['PF', 'F', 'UTIL']",10.348153114318800
David Duke Jr.,3000,BKN,"['PG', 'SF', 'F', 'G', 'UTIL']",10.691583633422900
Day'Ron Sharpe,3000,BKN,"['C', 'UTIL']",13.945512771606400
Blake Griffin,3000,BKN,"['PF', 'C', 'F', 'UTIL']",10.42611598968510
PJ Dozier,3000,ORL,"['PG', 'G', 'UTIL']",18.350675582885700
Robin Lopez,3000,ORL,"['C', 'UTIL']",13.820399284362800
Freddie Gillespie,3000,ORL,"['SF', 'PF', 'F', 'UTIL']",16.050756454467800
Louis King,3000,SAC,"['PF', 'F', 'UTIL']",13.570226669311500
Jahmi'us Ramsey,3000,SAC,"['SG', 'G', 'UTIL']",8.531298637390140
Neemias Queta,3000,SAC,"['C', 'UTIL']",9.494525909423830
Josh Jackson,3000,SAC,"['SG', 'SF', 'F', 'G', 'UTIL']",10.49318027496340
Justin Champagnie,3000,TOR,"['SF', 'PF', 'F', 'UTIL']",7.941333770751950
Svi Mykhailiuk,3000,TOR,"['SG', 'G', 'UTIL']",7.637470245361330
Daniel Oturu,3000,TOR,"['C', 'UTIL']",10.929969787597700
D.J. Wilson,3000,TOR,"['PF', 'F', 'UTIL']",17.730615615844700
Isaac Bonga,3000,TOR,"['SF', 'F', 'UTIL']",8.407361030578610
Keifer Sykes,3000,IND,"['PG', 'G', 'UTIL']",12.543817520141600
Reggie Perry,3000,IND,"['PF', 'F', 'UTIL']",13.05010986328130
Daishen Nix,3000,HOU,"['PG', 'G', 'UTIL']",12.597187042236300
Dennis Smith Jr.,3000,POR,"['PG', 'G', 'UTIL']",17.00362777709960
Keljin Blevins,3000,POR,"['SF', 'F', 'UTIL']",12.918182373046900
David Nwaba,3000,HOU,"['SF', 'F', 'UTIL']",11.11380672454830
Usman Garuba,3000,HOU,"['PF', 'C', 'F', 'UTIL']",12.72185516357420
