Minutes played,Field Goals Made,Field Goals Attempted,Field Goals 3 Points Made,Field Goal 3 Points Attempt,Free Throws Made,Free Throws Attempt,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Double-double,Triple-double,Draftkings next game score
16,1,3,0,0,2,2,1,3,0,0,0,0,0,4,0,0,17.75
18,2,3,0,0,0,0,1,4,2,1,1,1,6,4,0,0,5.75
14,1,1,0,0,0,0,0,3,0,0,0,0,2,2,0,0,8.25
15,4,6,0,1,0,2,1,0,0,0,0,2,2,8,0,0,21.75
24,4,7,0,0,0,0,4,3,1,1,1,0,2,8,0,0,13.75
20,4,5,0,0,0,0,1,2,2,0,1,0,2,8,0,0,29.5
19,7,8,0,0,0,0,4,4,1,2,1,5,5,14,0,0,21.75
23,4,7,0,0,3,4,2,1,0,1,4,2,6,11,0,0,20.5
26,1,3,1,1,1,2,1,3,3,1,1,0,3,4,0,0,18.0
20,3,6,0,1,2,2,3,5,1,0,0,0,3,8,0,0,18.0
25,3,3,0,0,7,7,3,1,1,0,0,0,2,13,0,0,14.25
23,3,4,0,0,0,0,1,0,1,1,2,0,5,6,0,0,14.75
19,3,3,0,0,1,2,0,3,0,0,2,0,4,7,0,0,19.0
21,4,6,0,0,2,4,3,3,1,0,1,1,5,10,0,0,11.75
21,3,6,0,1,0,0,1,4,0,0,0,1,6,6,0,0,9.25
14,3,4,0,0,2,3,1,0,1,0,0,0,4,8,0,0,28.0
26,6,8,0,0,4,4,4,4,1,1,0,2,4,16,0,0,31.5
28,8,8,0,0,4,9,2,6,1,0,1,1,3,20,0,0,21.0
21,1,3,0,0,0,0,2,6,1,1,3,0,5,2,0,0,5.5
13,0,1,0,0,1,2,1,1,0,0,1,0,5,1,0,0,15.25
14,5,6,0,0,0,0,1,2,0,0,1,1,4,10,0,0,15.5
18,4,4,0,0,1,2,2,2,2,0,1,1,2,9,0,0,15.75
21,3,4,0,0,4,4,0,3,0,0,1,0,2,10,0,0,5.75
9,0,1,0,0,2,2,2,1,0,0,0,0,1,2,0,0,3.25
9,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,13.5
19,1,5,0,1,0,0,3,1,1,1,2,1,1,2,0,0,8.75
11,1,1,0,0,0,0,1,2,1,1,0,0,0,2,0,0,3.25
